;download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
87;23-09-2017-20h-37m-30s;€;;28.0;2.5;CIA;Ryanair;20:35;0;1;18:05;lun;MAD;27-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
88;23-09-2017-20h-33m-02s;€;;28.0;2.6;MAD;Ryanair;23:25;0;1;20:50;sáb;CIA;2-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
89;23-09-2017-20h-33m-02s;€;;28.0;2.6;MAD;Ryanair;19:10;0;1;16:35;sáb;CIA;2-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
90;23-09-2017-20h-33m-02s;€;;28.0;2.6;MAD;Ryanair;12:00;0;1;9:25;dom;CIA;3-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
91;23-09-2017-21h-00m-01s;€;;29.0;2.5;CIA;Ryanair;16:10;0;1;13:40;lun;MAD;18-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
92;23-09-2017-20h-46m-30s;€;MRS;30.0;16.5;MAD;Ryanair;23:59;1;1;7:30;mié;CIA;22-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
93;23-09-2017-20h-46m-30s;€;BVA;30.0;15.3;MAD;Ryanair;21:50;1;1;6:30;mié;CIA;22-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
94;23-09-2017-20h-46m-30s;€;MRS;30.0;10.2;MAD;Ryanair;17:45;1;1;7:30;lun;CIA;27-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
95;23-09-2017-20h-46m-30s;€;STN;31.0;7.4;MAD;Ryanair;18:35;1;1;11:10;mié;CIA;22-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
96;23-09-2017-20h-46m-30s;€;STN;31.0;9.5;MAD;Ryanair;23:35;1;1;14:05;mié;CIA;22-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
97;23-09-2017-20h-46m-30s;€;STN;31.0;16.8;MAD;Ryanair;10:15;1;1;17:25;mar;CIA;28-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
98;23-09-2017-20h-38m-38s;€;;31.0;2.6;MAD;Ryanair;23:25;0;1;20:50;jue;CIA;9-11;https://www.kayak.es/flights/ROM-MAD/2017-11-11-flexible
99;23-09-2017-20h-54m-24s;€;;32.0;2.6;MAD;Vueling;22:20;0;1;19:45;lun;FCO;4-12;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
100;23-09-2017-20h-42m-00s;€;;32.0;2.3;FCO;Vueling;21:05;0;1;18:45;mié;MAD;25-10;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible
101;23-09-2017-20h-37m-30s;€;;34.0;2.5;CIA;Ryanair;20:25;0;1;17:55;dom;MAD;26-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
102;23-09-2017-20h-25m-08s;€;;34.0;2.5;CIA;Ryanair;16:10;0;1;13:40;dom;MAD;12-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
103;23-09-2017-20h-25m-08s;€;;34.0;2.5;CIA;Ryanair;20:25;0;1;17:55;jue;MAD;9-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
104;23-09-2017-20h-25m-08s;€;;34.0;2.5;CIA;Ryanair;16:10;0;1;13:40;sáb;MAD;11-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
105;23-09-2017-20h-25m-08s;€;;34.0;2.5;CIA;Ryanair;20:25;0;1;17:55;vie;MAD;10-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
106;23-09-2017-20h-46m-30s;€;;34.0;2.6;MAD;Ryanair;12:00;0;1;9:25;vie;CIA;24-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
107;23-09-2017-20h-46m-30s;€;;34.0;2.6;MAD;Ryanair;12:00;0;1;9:25;jue;CIA;23-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
108;23-09-2017-20h-46m-30s;€;;34.0;2.6;MAD;Ryanair;12:00;0;1;9:25;lun;CIA;27-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
109;23-09-2017-20h-42m-00s;€;;34.0;2.5;CIA;Ryanair;23:05;0;1;20:35;lun;MAD;23-10;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible
110;23-09-2017-20h-49m-54s;€;;34.0;2.5;CIA;Ryanair;20:25;0;1;17:55;jue;MAD;30-11;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
111;23-09-2017-20h-49m-54s;€;;34.0;2.5;CIA;Ryanair;16:10;0;1;13:40;jue;MAD;30-11;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
112;23-09-2017-20h-37m-30s;€;;34.0;2.5;CIA;Ryanair;16:10;0;1;13:40;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
113;23-09-2017-20h-37m-30s;€;;34.0;2.5;CIA;Ryanair;9:00;0;1;6:30;dom;MAD;26-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
114;23-09-2017-20h-42m-00s;€;;34.0;2.5;CIA;Ryanair;9:05;0;1;6:35;dom;MAD;22-10;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible
115;23-09-2017-20h-33m-02s;€;;35.0;2.6;MAD;Vueling;22:20;0;1;19:45;lun;FCO;4-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
116;23-09-2017-21h-00m-01s;€;;35.0;2.5;CIA;Ryanair;20:25;0;1;17:55;mié;MAD;20-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
117;23-09-2017-21h-00m-01s;€;;35.0;2.5;CIA;Ryanair;16:10;0;1;13:40;mié;MAD;20-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
118;23-09-2017-21h-00m-01s;€;;35.0;2.5;CIA;Ryanair;9:00;0;1;6:30;jue;MAD;21-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
119;23-09-2017-21h-00m-01s;€;;35.0;2.5;CIA;Ryanair;9:00;0;1;6:30;lun;MAD;18-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
120;23-09-2017-20h-48m-45s;€;;35.0;2.4;FCO;Vueling;9:25;0;1;7:00;mié;AMS;1-11;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
121;23-09-2017-20h-38m-38s;€;;37.0;2.6;MAD;Ryanair;19:10;0;1;16:35;jue;CIA;9-11;https://www.kayak.es/flights/ROM-MAD/2017-11-11-flexible
122;23-09-2017-20h-26m-15s;€;;37.0;2.1;CIA;Ryanair;9:30;0;1;7:25;sáb;EIN;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
123;23-09-2017-20h-57m-46s;€;;37.0;2.4;RTM;Transavia;22:55;0;1;20:30;lun;FCO;25-12;https://www.kayak.es/flights/ROM-AMS/2017-12-25-flexible
124;23-09-2017-20h-46m-30s;€;OTP;38.0;10.6;MAD;Wizz Air / Ryanair;18:20;1;1;7:45;lun;CIA;27-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
125;23-09-2017-20h-46m-30s;€;OTP;38.0;15.1;MAD;Wizz Air / Ryanair;22:50;1;1;7:45;jue;CIA;23-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
126;23-09-2017-20h-49m-54s;€;;38.0;2.5;CIA;Ryanair;16:10;0;1;13:40;lun;MAD;4-12;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
127;23-09-2017-20h-49m-54s;€;;38.0;2.5;CIA;Ryanair;9:00;0;1;6:30;sáb;MAD;2-12;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
128;23-09-2017-20h-33m-02s;€;;38.0;2.6;MAD;Ryanair;12:00;0;1;9:25;mié;CIA;6-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
129;23-09-2017-20h-49m-54s;€;;38.0;2.5;CIA;Ryanair;20:25;0;1;17:55;sáb;MAD;2-12;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
130;23-09-2017-20h-49m-54s;€;;38.0;2.5;CIA;Ryanair;9:00;0;1;6:30;dom;MAD;3-12;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
131;23-09-2017-20h-49m-54s;€;;38.0;2.5;CIA;Ryanair;16:10;0;1;13:40;sáb;MAD;2-12;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
132;23-09-2017-20h-49m-54s;€;;38.0;2.5;CIA;Ryanair;16:10;0;1;13:40;dom;MAD;3-12;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
133;23-09-2017-21h-00m-01s;€;;38.0;2.5;CIA;Ryanair;20:25;0;1;17:55;vie;MAD;15-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
134;23-09-2017-20h-49m-54s;€;;38.0;2.5;CIA;Ryanair;20:25;0;1;17:55;dom;MAD;3-12;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
135;23-09-2017-20h-49m-54s;€;;38.0;2.5;CIA;Ryanair;9:00;0;1;6:30;lun;MAD;4-12;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
136;23-09-2017-20h-46m-30s;€;;39.0;2.6;MAD;Ryanair;12:00;0;1;9:25;sáb;CIA;25-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
