;arrival_airport_1;date_0;duration_0;depart_airport_0;price;date_1;duration_1;depart_time_1;day_week_0;download_date;number_destinations;link;depart_airport_1;currency;stops_0;number_stops_0;stops_1;number_stops_1;airlines;arrival_time_0;depart_time_0;arrival_airport_0;arrival_time_1;day_week_1
36;FCO;17-11;2.6;CIA;97.0;19-11;16.3;21:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;23:25;20:50;MAD;13:25;dom
37;FCO;17-11;2.6;CIA;98.0;19-11;10.7;21:20;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;SOF;1;Ryanair / Wizz Air;12:00;9:25;MAD;8:00;dom
38;FCO;17-11;2.6;CIA;99.0;19-11;22.7;12:15;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;23:25;20:50;MAD;10:55;dom
39;FCO;26-10;13.0;FCO;99.0;2-11;8.6;7:10;jue;11-10-2017 15:22:50;2;https://www.kayak.es/flights/ROM-MAD/2017-10-26/2017-11-02;MAD;€;IBZ;1;BRI;1;Ryanair;23:30;10:30;MAD;15:45;jue
40;CIA;10-11;2.6;CIA;99.0;12-11;2.5;6:30;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Ryanair;23:25;20:50;MAD;9:00;dom
41;FCO;17-11;2.6;CIA;99.0;19-11;25.2;12:15;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;23:25;20:50;MAD;13:25;dom
42;FCO;17-11;2.6;CIA;99.0;19-11;24.8;10:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;23:25;20:50;MAD;10:55;dom
43;CIA;10-11;9.8;FCO;100.0;12-11;2.5;6:30;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;LIS;1;;0;TAP AIR PORTUGAL / Ryanair;15:55;6:10;MAD;9:00;dom
44;FCO;17-11;2.6;CIA;100.0;19-11;2.4;16:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Ryanair / Vueling;23:25;20:50;MAD;19:00;dom
45;CIA;10-11;5.3;FCO;100.0;12-11;2.5;6:30;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;LIS;1;;0;TAP AIR PORTUGAL / Ryanair;11:30;6:10;MAD;9:00;dom
46;FCO;17-11;2.6;FCO;104.0;19-11;18.2;16:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Vueling / TAP AIR PORTUGAL  - Portugalia opera el vuel;22:20;19:45;MAD;10:55;dom
47;FCO;17-11;2.6;CIA;104.0;19-11;20.8;16:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;19:10;16:35;MAD;13:25;dom
48;FCO;17-11;2.6;CIA;104.0;19-11;20.8;16:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;12:00;9:25;MAD;13:25;dom
49;FCO;17-11;2.6;CIA;104.0;19-11;18.8;18:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;19:10;16:35;MAD;13:25;dom
50;FCO;17-11;2.6;CIA;104.0;19-11;18.8;18:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;12:00;9:25;MAD;13:25;dom
51;FCO;17-11;2.6;CIA;104.0;19-11;16.3;18:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;12:00;9:25;MAD;10:55;dom
52;FCO;17-11;2.6;CIA;104.0;19-11;16.3;21:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;12:00;9:25;MAD;13:25;dom
53;FCO;17-11;2.6;CIA;104.0;19-11;16.3;21:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;19:10;16:35;MAD;13:25;dom
54;FCO;17-11;2.6;CIA;104.0;19-11;16.3;18:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;19:10;16:35;MAD;10:55;dom
55;FCO;17-11;2.6;CIA;104.0;19-11;13.8;21:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;12:00;9:25;MAD;10:55;dom
56;FCO;17-11;2.6;CIA;104.0;19-11;13.8;21:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL;19:10;16:35;MAD;10:55;dom
57;FCO;17-11;2.6;CIA;104.0;19-11;18.2;16:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;12:00;9:25;MAD;10:55;dom
58;FCO;17-11;2.6;CIA;104.0;19-11;18.2;16:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;19:10;16:35;MAD;10:55;dom
59;FCO;17-11;16.6;CIA;105.0;19-11;20.8;16:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;MRS;1;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;0:05;7:30;MAD;13:25;dom
60;FCO;17-11;16.6;CIA;105.0;19-11;18.8;18:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;MRS;1;LIS;1;Ryanair / TAP AIR PORTUGAL;0:05;7:30;MAD;13:25;dom
61;CIA;10-11;2.6;CIA;105.0;12-11;2.5;13:40;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Ryanair;12:00;9:25;MAD;16:10;dom
62;FCO;10-11;2.6;FCO;105.0;12-11;2.5;8:45;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Iberia;14:35;12:00;MAD;11:15;dom
63;FCO;10-11;2.6;FCO;105.0;12-11;2.3;13:20;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Iberia;14:35;12:00;MAD;15:40;dom
64;CIA;17-11;2.6;FCO;105.0;19-11;10.2;21:20;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;SOF;1;Vueling / Wizz Air / Ryanair;22:20;19:45;MAD;7:35;dom
65;FCO;17-11;16.6;CIA;105.0;19-11;16.3;18:35;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;MRS;1;LIS;1;Ryanair / TAP AIR PORTUGAL;0:05;7:30;MAD;10:55;dom
66;FCO;17-11;16.6;CIA;105.0;19-11;16.3;21:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;MRS;1;LIS;1;Ryanair / TAP AIR PORTUGAL;0:05;7:30;MAD;13:25;dom
67;FCO;17-11;16.6;CIA;105.0;19-11;13.8;21:05;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;MRS;1;LIS;1;Ryanair / TAP AIR PORTUGAL;0:05;7:30;MAD;10:55;dom
68;CIA;17-11;2.6;CIA;105.0;19-11;10.2;21:20;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;SOF;1;Ryanair / Wizz Air;23:25;20:50;MAD;7:35;dom
69;FCO;17-11;2.5;FCO;105.0;19-11;2.5;8:45;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Iberia;21:40;19:10;MAD;11:15;dom
70;FCO;17-11;2.5;FCO;105.0;19-11;2.5;8:45;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Iberia;17:50;15:20;MAD;11:15;dom
71;FCO;17-11;2.5;FCO;105.0;19-11;2.3;13:20;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Iberia;17:50;15:20;MAD;15:40;dom
72;FCO;17-11;16.6;CIA;105.0;19-11;18.2;16:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;MRS;1;LIS;1;Ryanair / TAP AIR PORTUGAL  - Portugalia opera el vuel;0:05;7:30;MAD;10:55;dom
73;FCO;17-11;2.5;FCO;105.0;19-11;2.3;13:20;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Iberia;21:40;19:10;MAD;15:40;dom
