;date_0;download_date;arrival_time_0;depart_time_0;price;number_destinations;duration_0;currency;day_week_0;arrival_airport_0;link;stops_0;number_stops_0;airlines;depart_airport_0
44;18-11;23-09-2017-20h-18m-04s;22:15;6:45;100;1;15.5;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;ATH;1;Transavia / Ryanair;AMS
45;21-11;23-09-2017-20h-18m-04s;14:00;19:45;100;1;18.2;€;mar;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;PRG;1;Czech Airlines;AMS
46;18-11;23-09-2017-20h-18m-04s;10:50;14:30;101;1;20.3;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LHR;1;British Airways;AMS
47;18-11;23-09-2017-20h-18m-04s;10:50;16:05;101;1;18.8;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LHR;1;British Airways;AMS
48;18-11;23-09-2017-20h-18m-04s;10:50;17:35;101;1;17.2;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LHR;1;British Airways;AMS
49;20-11;23-09-2017-20h-18m-04s;21:05;11:10;101;1;9.9;€;lun;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;OSL;1;Norwegian;AMS
50;18-11;23-09-2017-20h-18m-04s;10:50;19:35;101;1;15.2;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LHR;1;British Airways;AMS
51;15-11;23-09-2017-20h-18m-04s;23:40;12:55;101;1;10.8;€;mié;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LIS;1;TAP AIR PORTUGAL;AMS
52;15-11;23-09-2017-20h-18m-04s;23:40;7:00;101;1;16.7;€;mié;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LIS;1;TAP AIR PORTUGAL;AMS
53;18-11;23-09-2017-20h-18m-04s;0:25;10:55;103;1;13.5;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LGW;1;British Airways  - Vueling opera el vuel;AMS
54;18-11;23-09-2017-20h-18m-04s;8:55;18:45;103;1;14.2;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;BCN;1;Iberia;AMS
55;18-11;23-09-2017-20h-18m-04s;14:00;15:30;103;1;22.5;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LGW;1;British Airways;AMS
56;18-11;23-09-2017-20h-18m-04s;23:05;16:40;105;1;6.4;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;STN;1;easyJet / Ryanair;AMS
57;18-11;23-09-2017-20h-18m-04s;9:30;18:40;106;1;14.8;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;MAD;1;Air Europa;AMS
58;18-11;23-09-2017-20h-18m-04s;10:20;21:00;107;1;13.3;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;MAN;1;Flybe / Ryanair;AMS
59;18-11;23-09-2017-20h-18m-04s;21:55;16:05;108;1;5.8;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;LHR;1;British Airways;AMS
